Obesity data- http://www.cdc.gov/obesity/data/table-adults.html ( 2014),,,,,,,,,,,
,,,,,,,,,,,
MEDHHINC 2010- Median Household Income ( 2010),,,,,,,,,,,
"Fast-food restaurants/1,000 pop (% change), 2007-12- (PCH_FFRPTH_07_12)                              Farmers' markets/1,000 pop (% change), 2009-13 (PCH_FMRKTPTH_09_13)                                    Grocery stores/1,000 pop (% change), 2007-12 (PCH_GROCPTH_07_12)                                   Supercenters & club stores (% change), 2007-12 ( PCH_SUPERC_07_12)                                 Convenience Stores ( % change), 2007-2012 (PCH_CONVSPTH_07_12)",,,,,,,,,,,
FIPS Code,State,POVRATE10,Obesity (%),MEDHHINC10,PCH_FFRPTH_07_12,,,PCH_FMRKTPTH_09_13,PCH_GROCPTH_07_12,PCH_SUPERC_07_12,Convenience stores
2185,AK,20,,68744,71.88634242,2185,AK,0,-31.24546303,-100,-31.24546303
2188,AK,9.1,,49466,-4.929577465,2188,AK,0,66.37323944,0,185.2112676
2195,AK,19.4,,52294,0,2195,AK,0,0,0,0
2198,AK,13.4,,40756,0,2198,AK,,0,0,0
2220,AK,9,,58000,-72.43296169,2220,AK,,-3.515365908,0,-82.45733926
2230,AK,34.1,,58550,0,2230,AK,,0,0,0
2240,AK,10.6,,54508,-42.42721165,2240,AK,-3.305328322,43.93197088,0,-42.42721165
2261,AK,14.7,,60297,-11.47660614,2261,AK,,-2.624266749,0,-40.07647185
2270,AK,27.1,,30883,0,2270,AK,,-8.606208523,0,
2275,AK,34.5,,42752,0,2275,AK,,0,0,0
2282,AK,17.7,,49331,-100,2282,AK,-51.76371781,1.047904192,0,0
2290,AK,23.8,,35177,0,2290,AK,43.93331275,10.78162912,0,-39.57365685
,Arizona,19.61333333,28.9,40757.33333,-4.372958994,,,4.355414069,-14.04749185,80.25012669,-34.32386365
4001,AZ,19.8,,30651,5.783664104,4001,AZ,0,-31.16469704,0,61.69125851
4003,AZ,21.6,,43677,-9.155696019,4003,AZ,,-3.294773182,,-47.17029276
4005,AZ,12.7,,43051,6.9667298,4005,AZ,,-6.293608605,181.1191742,-55.37790886
4007,AZ,23.7,,37430,8.449132351,4007,AZ,0,-1.717973807,96.56405239,-44.36866442
4009,AZ,16.6,,39299,-1.701694148,4009,AZ,95.04332756,-7.16271114,,-1.360380586
4011,AZ,18.7,,49592,-82.36764372,4011,AZ,-3.557620056,-41.22547906,0,0.756321615
4012,AZ,27.8,,33818,17.88342537,4012,AZ,-26.45925444,-0.729747054,,-28.52541788
4013,AZ,17.8,,50424,2.325594963,4013,AZ,-76.13262898,-3.324329946,53.91629498,-61.22450474
4015,AZ,14.4,,36446,6.411042212,4015,AZ,-1.778187566,-7.693007564,92.64067987,-44.58281812
4017,AZ,28,,37723,1.761850677,4017,AZ,-0.991554415,-7.263810543,107.2926588,-36.21764345
4019,AZ,18.3,,44293,6.002180362,4019,AZ,0,-0.400022076,45.05561523,-52.12211155
4021,AZ,21.1,,49833,-3.955122809,4021,AZ,0,-40.25654478,56.25211364,-52.32986364
4023,AZ,18.6,,33952,-26.15728774,4023,AZ,12.25914465,-36.82345729,,-53.58458086
4025,AZ,19.4,,40562,-8.996549654,4025,AZ,0,-5.161217726,66.17051595,-66.32860598
4027,AZ,15.7,,40609,11.15598934,4027,AZ,58.23715614,-18.20099789,183.7402886,-34.11274198
,Arkanas,20.83333333,35.9,34925.25333,6.210429124,,,25.11669775,-10.65261317,8.175366519,11.2492996
5001,AR,10.2,,38129,-6.280877267,5001,AR,43.92267587,-38.65657421,2.239042981,8.628983167
5003,AR,16,,37042,3.410146813,5003,AR,-11.97914112,3.410146813,,83.840261
5005,AR,28.5,,34421,5.456857909,5005,AR,131.3331078,-27.18455049,1.941629312,-58.39117171
5007,AR,15.6,,52417,11.95005889,5007,AR,30.41501311,1.726695025,-9.172593728,-45.63615099
5009,AR,16.4,,35532,-12.32648523,5009,AR,-50.76241613,-21.44453077,-1.805663461,-39.05179111
5011,AR,30.7,,31047,-30.01667105,5011,AR,0.41816642,4.974993419,0,-10.02143421
5013,AR,22.2,,36955,209.3838327,5013,AR,1.937372236,-100,0,37.50392563
5015,AR,18.3,,33789,-35.78160087,5015,AR,105.4034301,-1.202462876,-1.202462876,-73.2423337
5017,AR,18.6,,27321,23.03232497,5017,AR,94.1756936,-10.28892971,0,97.36435465
5019,AR,15.5,,33433,-14.69722934,5019,AR,195.9332387,3.261248692,3.261248692,3.261248692
5021,AR,25.6,,31976,-7.79648049,5021,AR,0,-23.16373374,0,2.448355011
5023,AR,18.2,,35472,11.02345526,5023,AR,0,-31.4266894,-2.038127712,-35.94800658
5025,AR,21.1,,40402,102.5037672,5025,AR,51.78196306,-49.37405819,0,305.0075345
5027,AR,15.8,,34538,-0.674212397,5027,AR,,-40.40452744,,68.85383892
5029,AR,30.3,,37475,-47.01503692,5029,AR,3.919602372,-2.860901019,-2.860901019,45.70864847
5031,AR,19.6,,37780,16.99910918,5031,AR,,-0.044572663,-8.374191608,-56.59830129
5033,AR,19.4,,39672,-13.36295835,5033,AR,-0.805951643,-23.75940335,90.60149162,-30.45621252
5035,AR,28,,33938,1.137463442,5035,AR,0,-25.5698321,4.202235061,75.84127167
5037,AR,20.9,,35080,14.91468437,5037,AR,-2.529318024,-20.9961545,,-18.07008615
